sample_id,split,source_file,output_file,rows,feature_dim,pose_joints,feature_min,feature_max,pose_scale_min,pose_scale_max,status,error,processing_sec
hoyeon_fall_normal_01,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/hoyeon_fall_normal_01_synchronized_315.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/hoyeon_fall_normal_01_model_ready.npz,1495,315,33,-4.268543243408203,6.3543195724487305,0.05000000074505806,0.4215036928653717,completed,,0.3307044506072998
hoyeon_free_activity_normal_01,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/hoyeon_free_activity_normal_01_synchronized_315.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/hoyeon_free_activity_normal_01_model_ready.npz,1802,315,33,-4.44385290145874,6.942712783813477,0.07543548941612244,0.5686097741127014,completed,,0.3673095703125
hoyeon_sit_normal_01,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/hoyeon_sit_normal_01_synchronized_315.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/hoyeon_sit_normal_01_model_ready.npz,1205,315,33,-4.200095176696777,5.238644599914551,0.2699865400791168,0.30969762802124023,completed,,0.22515463829040527
hoyeon_stand_normal_01,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/hoyeon_stand_normal_01_synchronized_315.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/hoyeon_stand_normal_01_model_ready.npz,1210,315,33,-4.842448711395264,5.759888172149658,0.3404127359390259,0.39588508009910583,completed,,0.2115936279296875
hoyeon_walk_large_motion_01,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/hoyeon_walk_large_motion_01_synchronized_315.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/hoyeon_walk_large_motion_01_model_ready.npz,1802,315,33,-5.660480976104736,7.235079288482666,0.3028477430343628,0.6219455003738403,completed,,0.2939882278442383
hoyeon_walk_normal_01,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/hoyeon_walk_normal_01_synchronized_315.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/hoyeon_walk_normal_01_model_ready.npz,1206,315,33,-4.960689067840576,6.554830551147461,0.3062906563282013,0.6148634552955627,completed,,0.1527109146118164
sujin_bending_normal_02,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_bending_normal_02_synchronized_315.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_bending_normal_02_model_ready.npz,1795,315,33,-2.831524610519409,4.38921594619751,0.05000000074505806,0.34536585211753845,completed,,0.22590994834899902
sujin_chair_sit_variation_01,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_chair_sit_variation_01_synchronized_315.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_chair_sit_variation_01_model_ready.npz,1806,315,33,-2.341200113296509,4.872509479522705,0.20881287753582,0.35639825463294983,completed,,0.24648284912109375
sujin_chair_sit_variation_02,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_chair_sit_variation_02_synchronized_315.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_chair_sit_variation_02_model_ready.npz,128,315,33,-3.188889980316162,6.753555774688721,0.25113752484321594,0.3632602393627167,completed,,0.031136035919189453
sujin_chair_sit_variation_03,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_chair_sit_variation_03_synchronized_315.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_chair_sit_variation_03_model_ready.npz,131,315,33,-2.4811103343963623,5.381950378417969,0.2167816460132599,0.35879021883010864,completed,,0.0309145450592041
