sample_id,person,action,repetition,source_split,rows,duration_sec,file_path,model_split
hoyeon_fall_normal_01,hoyeon,fall_normal,01,train_candidate,1495,149.7083282470703,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/hoyeon_fall_normal_01_synchronized_315.npz,train
hoyeon_free_activity_normal_01,hoyeon,free_activity_normal,01,train_candidate,1802,180.10997009277344,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/hoyeon_free_activity_normal_01_synchronized_315.npz,train
hoyeon_sit_normal_01,hoyeon,sit_normal,01,train_candidate,1205,120.40496826171875,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/hoyeon_sit_normal_01_synchronized_315.npz,train
hoyeon_stand_normal_01,hoyeon,stand_normal,01,train_candidate,1210,120.90660858154297,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/hoyeon_stand_normal_01_synchronized_315.npz,train
hoyeon_walk_large_motion_01,hoyeon,walk_large_motion,01,train_candidate,1802,180.11000061035156,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/hoyeon_walk_large_motion_01_synchronized_315.npz,train
hoyeon_walk_normal_01,hoyeon,walk_normal,01,train_candidate,1206,120.50666046142578,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/hoyeon_walk_normal_01_synchronized_315.npz,train
sujin_bending_normal_02,sujin,bending_normal,02,train_candidate,1795,179.80999755859375,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_bending_normal_02_synchronized_315.npz,train
sujin_chair_sit_variation_01,sujin,chair_sit_variation,01,train_candidate,1806,180.50997924804688,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_chair_sit_variation_01_synchronized_315.npz,train
sujin_chair_sit_variation_02,sujin,chair_sit_variation,02,train_candidate,128,12.70164966583252,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_chair_sit_variation_02_synchronized_315.npz,train
sujin_chair_sit_variation_03,sujin,chair_sit_variation,03,train_candidate,131,13.001662254333496,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_chair_sit_variation_03_synchronized_315.npz,train
sujin_fall_normal_01,sujin,fall_normal,01,train_candidate,1796,179.70999145507812,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_01_synchronized_315.npz,train
sujin_fall_normal_02,sujin,fall_normal,02,train_candidate,1201,120.10664367675781,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_02_synchronized_315.npz,train
sujin_fall_normal_03,sujin,fall_normal,03,train_candidate,125,12.401653289794922,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_03_synchronized_315.npz,train
sujin_fall_normal_06,sujin,fall_normal,06,train_candidate,127,12.701662063598633,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_06_synchronized_315.npz,train
sujin_fall_normal_07,sujin,fall_normal,07,train_candidate,127,12.601662635803223,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_07_synchronized_315.npz,train
sujin_fall_normal_08,sujin,fall_normal,08,train_candidate,126,12.501662254333496,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_08_synchronized_315.npz,train
sujin_fall_normal_09,sujin,fall_normal,09,train_candidate,127,12.601662635803223,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_09_synchronized_315.npz,train
sujin_fall_normal_10,sujin,fall_normal,10,train_candidate,130,12.901658058166504,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_10_synchronized_315.npz,train
sujin_fall_normal_11,sujin,fall_normal,11,train_candidate,126,12.5,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_11_synchronized_315.npz,train
sujin_fall_normal_12,sujin,fall_normal,12,train_candidate,155,15.401662826538086,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_12_synchronized_315.npz,train
sujin_fall_normal_13,sujin,fall_normal,13,train_candidate,128,12.701653480529785,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_13_synchronized_315.npz,train
sujin_fall_normal_14,sujin,fall_normal,14,train_candidate,128,12.701658248901367,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_14_synchronized_315.npz,train
sujin_fall_normal_15,sujin,fall_normal,15,train_candidate,127,12.701662063598633,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_15_synchronized_315.npz,train
sujin_fall_normal_16,sujin,fall_normal,16,train_candidate,126,12.5,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_16_synchronized_315.npz,train
sujin_fall_stay_down_01,sujin,fall_stay_down,01,train_candidate,1810,181.50999450683594,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_stay_down_01_synchronized_315.npz,train
sujin_fall_stay_down_02,sujin,fall_stay_down,02,train_candidate,108,10.701651573181152,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_stay_down_02_synchronized_315.npz,train
sujin_fall_stay_down_05,sujin,fall_stay_down,05,train_candidate,99,9.80163288116455,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_stay_down_05_synchronized_315.npz,train
sujin_free_activity_03,sujin,free_activity,03,train_candidate,2997,299.614990234375,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_free_activity_03_synchronized_315.npz,train
sujin_free_activity_normal_02,sujin,free_activity_normal,02,train_candidate,3004,300.316650390625,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_free_activity_normal_02_synchronized_315.npz,train
sujin_lie_down_normal_01,sujin,lie_down_normal,01,train_candidate,1792,180.00999450683594,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_lie_down_normal_01_synchronized_315.npz,train
sujin_pick_up_normal_02,sujin,pick_up_normal,02,train_candidate,1798,180.20999145507812,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_pick_up_normal_02_synchronized_315.npz,train
sujin_pick_up_normal_03,sujin,pick_up_normal,03,train_candidate,130,12.899999618530273,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_pick_up_normal_03_synchronized_315.npz,train
sujin_pick_up_normal_04,sujin,pick_up_normal,04,train_candidate,126,12.501662254333496,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_pick_up_normal_04_synchronized_315.npz,train
sujin_pick_up_normal_05,sujin,pick_up_normal,05,train_candidate,126,12.501657485961914,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_pick_up_normal_05_synchronized_315.npz,train
sujin_pick_up_normal_06,sujin,pick_up_normal,06,train_candidate,129,12.801653861999512,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_pick_up_normal_06_synchronized_315.npz,train
sujin_pick_up_normal_07,sujin,pick_up_normal,07,train_candidate,133,13.201645851135254,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_pick_up_normal_07_synchronized_315.npz,train
sujin_pick_up_normal_08,sujin,pick_up_normal,08,train_candidate,129,12.801657676696777,/content/gdrive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_pick_up_normal_08_synchronized_315.npz,train
