sample_id,action,window_start,window_end,start_time_sec,end_time_sec,split
hoyeon_fall_normal_01,fall_normal,0,9,0.0,0.90025069637883,train
hoyeon_fall_normal_01,fall_normal,1,10,0.1000278551532033,1.0002785515320334,train
hoyeon_fall_normal_01,fall_normal,2,11,0.2000557103064066,1.1003064066852368,train
hoyeon_fall_normal_01,fall_normal,3,12,0.30008356545961,1.20033426183844,train
hoyeon_fall_normal_01,fall_normal,4,13,0.4001114206128133,1.3003621169916435,train
hoyeon_fall_normal_01,fall_normal,5,14,0.5001392757660167,1.4003899721448467,train
hoyeon_fall_normal_01,fall_normal,6,15,0.60016713091922,1.5004178272980502,train
hoyeon_fall_normal_01,fall_normal,7,16,0.7001949860724234,1.6004456824512534,train
hoyeon_fall_normal_01,fall_normal,8,17,0.8002228412256267,1.7004735376044569,train
hoyeon_fall_normal_01,fall_normal,9,18,0.90025069637883,1.80050139275766,train
hoyeon_fall_normal_01,fall_normal,10,19,1.0002785515320334,1.9005292479108635,train
hoyeon_fall_normal_01,fall_normal,11,20,1.1003064066852368,2.0005571030640668,train
hoyeon_fall_normal_01,fall_normal,12,21,1.20033426183844,2.10058495821727,train
hoyeon_fall_normal_01,fall_normal,13,22,1.3003621169916435,2.2006128133704737,train
hoyeon_fall_normal_01,fall_normal,14,23,1.4003899721448467,2.300640668523677,train
hoyeon_fall_normal_01,fall_normal,15,24,1.5004178272980502,2.40066852367688,train
hoyeon_fall_normal_01,fall_normal,16,25,1.6004456824512534,2.500696378830084,train
hoyeon_fall_normal_01,fall_normal,17,26,1.7004735376044569,2.600724233983287,train
hoyeon_fall_normal_01,fall_normal,18,27,1.80050139275766,2.7007520891364902,train
hoyeon_fall_normal_01,fall_normal,19,28,1.9005292479108635,2.800779944289693,train
hoyeon_fall_normal_01,fall_normal,20,29,2.0005571030640668,2.9008077994428967,train
hoyeon_fall_normal_01,fall_normal,21,30,2.10058495821727,3.0008356545961004,train
hoyeon_fall_normal_01,fall_normal,22,31,2.2006128133704737,3.100863509749304,train
hoyeon_fall_normal_01,fall_normal,23,32,2.300640668523677,3.200891364902507,train
hoyeon_fall_normal_01,fall_normal,24,33,2.40066852367688,3.30091922005571,train
hoyeon_fall_normal_01,fall_normal,25,34,2.500696378830084,3.4009470752089137,train
hoyeon_fall_normal_01,fall_normal,26,35,2.600724233983287,3.500974930362117,train
hoyeon_fall_normal_01,fall_normal,27,36,2.7007520891364902,3.60100278551532,train
hoyeon_fall_normal_01,fall_normal,28,37,2.800779944289693,3.7010306406685234,train
hoyeon_fall_normal_01,fall_normal,29,38,2.9008077994428967,3.801058495821727,train
hoyeon_fall_normal_01,fall_normal,30,39,3.0008356545961004,3.9010863509749294,train
hoyeon_fall_normal_01,fall_normal,31,40,3.100863509749304,4.0011142061281335,train
hoyeon_fall_normal_01,fall_normal,32,41,3.200891364902507,4.101142061281337,train
hoyeon_fall_normal_01,fall_normal,33,42,3.30091922005571,4.20116991643454,train
hoyeon_fall_normal_01,fall_normal,34,43,3.4009470752089137,4.301197771587743,train
hoyeon_fall_normal_01,fall_normal,35,44,3.500974930362117,4.401225626740947,train
hoyeon_fall_normal_01,fall_normal,36,45,3.60100278551532,4.501253481894151,train
hoyeon_fall_normal_01,fall_normal,37,46,3.7010306406685234,4.601281337047354,train
